collectDate,uva_250,uva_280,dtpr,site
10/4/16 15:39,0.1661,0.1103,10/4/16 15:45,ARIK
11/1/16 17:46,0.212,0.1443,11/1/16 17:45,ARIK
12/6/16 16:39,0.1299,0.0859,12/6/16 16:45,ARIK
1/4/17 16:00,0.0969,0.0643,1/4/17 16:00,ARIK
1/18/17 16:42,0.1545,0.1107,1/18/17 16:45,ARIK
2/7/17 18:25,0.1107,0.0767,2/7/17 18:30,ARIK
2/14/17 18:10,0.1278,0.0884,2/14/17 18:15,ARIK
3/1/17 19:10,0.1197,0.0806,3/1/17 19:15,ARIK
3/9/17 18:22,0.1338,0.0916,3/9/17 18:15,ARIK
3/14/17 16:02,0.1355,0.095,3/14/17 16:00,ARIK
4/6/17 15:40,0.1692,0.1127,4/6/17 15:45,ARIK
4/12/17 14:50,0.1501,0.0988,4/12/17 14:45,ARIK
4/18/17 15:20,0.1839,0.1253,4/18/17 15:15,ARIK
4/26/17 17:37,0.1851,0.1261,4/26/17 17:30,ARIK
5/2/17 17:36,0.178,0.1202,5/2/17 17:30,ARIK
5/16/17 15:40,0.2127,0.1443,5/16/17 15:45,ARIK
6/6/17 16:20,0.2193,0.1506,6/6/17 16:15,ARIK
7/5/17 17:49,0.1583,0.1114,7/5/17 17:45,ARIK
7/19/17 14:40,0.1615,0.1129,7/19/17 14:45,ARIK
8/1/17 14:33,0.1588,0.1066,8/1/17 14:30,ARIK
8/16/17 16:30,0.1097,0.0717,8/16/17 16:30,ARIK
9/5/17 17:45,0.1615,0.1066,9/5/17 17:45,ARIK
10/12/17 11:19,0.1601,0.1046,10/12/17 11:15,ARIK
10/24/17 17:15,0.1683,0.1173,10/24/17 17:15,ARIK
11/7/17 16:40,0.1782,0.1192,11/7/17 16:45,ARIK
11/30/17 16:54,0.1263,0.0819,11/30/17 17:00,ARIK
12/5/17 16:20,0.1292,0.0889,12/5/17 16:15,ARIK
12/20/17 18:08,0.1047,0.0682,12/20/17 18:15,ARIK
1/4/18 17:12,0.1323,0.0887,1/4/18 17:15,ARIK
1/18/18 16:24,0.1059,0.0697,1/18/18 16:30,ARIK
2/7/18 17:30,0.1141,0.0785,2/7/18 17:30,ARIK
2/15/18 15:51,0.1236,0.0867,2/15/18 15:45,ARIK
2/28/18 15:39,0.1523,0.1054,2/28/18 15:45,ARIK
3/6/18 16:01,0.1375,0.0995,3/6/18 16:00,ARIK
3/13/18 14:20,0.1693,0.1139,3/13/18 14:15,ARIK
3/27/18 16:55,0.1399,0.0911,3/27/18 17:00,ARIK
4/3/18 17:43,0.1471,0.0981,4/3/18 17:45,ARIK
4/18/18 17:45,0.1879,0.1256,4/18/18 17:45,ARIK
5/1/18 14:20,-0.0272,-0.0258,5/1/18 14:15,ARIK
5/9/18 15:34,0.2315,0.1569,5/9/18 15:30,ARIK
5/15/18 17:57,0.2142,0.1459,5/15/18 18:00,ARIK
5/30/18 17:15,0.2545,0.1734,5/30/18 17:15,ARIK
6/6/18 13:29,0.16,0.1071,6/6/18 13:30,ARIK
6/13/18 15:36,0.1205,0.083,6/13/18 15:30,ARIK
7/2/18 18:29,0.2219,0.1515,7/2/18 18:30,ARIK
7/12/18 15:53,0.1527,0.1044,7/12/18 16:00,ARIK
7/18/18 15:18,0.1726,0.1216,7/18/18 15:15,ARIK
8/7/18 14:19,0.1559,0.1073,8/7/18 14:15,ARIK
8/20/18 16:50,0.1924,0.1312,8/20/18 16:45,ARIK
9/4/18 17:15,0.1681,0.1163,9/4/18 17:15,ARIK
10/2/18 15:24,0.1253,0.0845,10/2/18 15:30,ARIK
11/6/18 16:25,0.1812,0.1253,11/6/18 16:30,ARIK
12/4/18 16:14,0.1335,0.091,12/4/18 16:15,ARIK
12/19/18 16:15,0.1032,0.0678,12/19/18 16:15,ARIK
1/3/19 16:00,0.1052,0.0723,1/3/19 16:00,ARIK
1/21/19 18:57,0.1105,0.0765,1/21/19 19:00,ARIK
2/5/19 18:04,0.1069,0.0731,2/5/19 18:00,ARIK
2/14/19 18:20,0.0949,0.0651,2/14/19 18:15,ARIK
2/27/19 15:59,0.1066,0.0712,2/27/19 16:00,ARIK
3/5/19 17:58,0.054033333,0.048166667,3/5/19 18:00,ARIK
3/12/19 19:45,0.1144,0.0767,3/12/19 19:45,ARIK
3/27/19 16:31,0.1802,0.1217,3/27/19 16:30,ARIK
4/2/19 19:39,0.1567,0.1069,4/2/19 19:45,ARIK
4/17/19 17:20,0.159,0.1091,4/17/19 17:15,ARIK
4/29/19 18:35,0.1865,0.1236,4/29/19 18:30,ARIK
5/7/19 13:15,0.1889,0.1292,5/7/19 13:15,ARIK
5/14/19 16:51,0.189,0.1314,5/14/19 16:45,ARIK
