siteID,month,year,site,deployDate,collectDate
ARIK,5,2023,ARIK,5/11/23,5/9/23 17:19
ARIK,5,2023,ARIK,5/9/23,5/9/23 17:19
BARC,6,2023,BARC,6/8/23,6/6/23 13:15
BARC,6,2023,BARC,6/6/23,6/6/23 13:15
BLDE,5,2023,BLDE,5/30/23,5/30/23 16:50
BLDE,6,2023,BLDE,6/1/23,5/30/23 16:50
BLDE,6,2023,BLDE,6/1/23,5/30/23 16:50
BLWA,6,2023,BLWA,6/20/23,6/20/23 15:54
BLWA,6,2023,BLWA,6/22/23,6/20/23 15:54
CARI,3,2023,CARI,3/17/23,3/14/23 20:43
CARI,3,2023,CARI,3/14/23,3/14/23 20:43
CARI,5,2023,CARI,5/24/23,5/24/23 20:22
CARI,5,2023,CARI,5/26/23,5/24/23 20:22
CARI,8,2023,CARI,8/28/23,8/29/23 19:42
CARI,8,2023,CARI,8/30/23,8/29/23 19:42
CARI,10,2022,CARI,10/22/22,10/11/22 20:57
CARI,10,2022,CARI,10/17/22,10/11/22 20:57
COMO,3,2023,COMO,3/6/23,2/21/23 17:58
COMO,3,2023,COMO,3/11/23,2/21/23 17:58
COMO,6,2023,COMO,6/21/23,6/21/23 15:11
COMO,6,2023,COMO,6/19/23,6/19/23 16:36
COMO,8,2023,COMO,8/21/23,8/8/23 19:11
COMO,8,2023,COMO,8/24/23,8/8/23 19:11
COMO,10,2022,COMO,10/19/22,10/11/22 14:55
COMO,10,2022,COMO,10/17/22,10/11/22 14:55
CRAM,6,2023,CRAM,6/5/23,6/5/23 15:47
CUPE,6,2023,CUPE,6/7/23,6/6/23 11:57
CUPE,6,2023,CUPE,6/6/23,6/6/23 11:57
FLNT,6,2023,FLNT,6/15/23,6/13/23 14:22
FLNT,6,2023,FLNT,6/13/23,6/13/23 14:22
HOPB,3,2023,HOPB,3/27/23,3/21/23 14:28
HOPB,3,2023,HOPB,3/21/23,3/21/23 14:28
HOPB,5,2023,HOPB,5/5/23,4/26/23 13:10
HOPB,5,2023,HOPB,5/2/23,4/26/23 13:10
HOPB,8,2023,HOPB,8/9/23,7/19/23 13:25
HOPB,8,2023,HOPB,8/14/23,7/19/23 13:25
HOPB,11,2022,HOPB,11/15/22,11/15/22 14:44
HOPB,11,2022,HOPB,11/16/22,11/15/22 14:44
KING,2,2023,KING,2/7/23,2/7/23 16:24
KING,2,2023,KING,2/12/23,2/7/23 16:24
KING,3,2023,KING,3/29/23,3/27/23 14:39
KING,5,2023,KING,5/24/23,5/23/23 14:06
KING,5,2023,KING,5/23/23,5/23/23 14:06
KING,8,2023,KING,8/23/23,8/23/23 12:10
KING,8,2023,KING,8/25/23,8/23/23 12:10
KING,11,2022,KING,11/19/22,11/16/22 15:56
KING,11,2022,KING,11/16/22,11/16/22 15:56
MART,6,2023,MART,6/15/23,6/13/23 16:48
MART,6,2023,MART,6/13/23,6/13/23 16:48
MAYF,2,2023,MAYF,2/8/23,2/6/23 17:35
MAYF,2,2023,MAYF,2/6/23,2/6/23 17:35
MAYF,3,2023,MAYF,3/29/23,3/15/23 17:07
MAYF,5,2023,MAYF,5/1/23,5/1/23 15:22
MAYF,5,2023,MAYF,5/3/23,5/1/23 15:22
MAYF,7,2023,MAYF,7/31/23,7/13/23 14:07
MAYF,8,2023,MAYF,8/3/23,8/1/23 14:03
MAYF,10,2022,MAYF,10/10/22,10/6/22 13:52
MAYF,10,2022,MAYF,10/14/22,10/6/22 13:52
MTF,5,2023,MTF,5/16/23,NA
MTF,11,2022,MTF,11/30/22,NA
MTF,12,2022,MTF,12/1/22,NA
NOM,2,2023,NOM,2/8/23,NA
NOM,2,2023,NOM,2/12/23,NA
NOM,3,2023,NOM,3/11/23,NA
NOM,3,2023,NOM,3/17/23,NA
NOM,3,2023,NOM,3/23/23,NA
NOM,3,2023,NOM,3/27/23,NA
NOM,5,2023,NOM,5/4/23,NA
NOM,5,2023,NOM,5/5/23,NA
NOM,5,2023,NOM,5/10/23,NA
NOM,5,2023,NOM,5/11/23,NA
NOM,5,2023,NOM,5/3/23,NA
NOM,5,2023,NOM,5/24/23,NA
NOM,5,2023,NOM,5/12/23,NA
NOM,5,2023,NOM,5/26/23,NA
NOM,6,2023,NOM,6/15/23,NA
NOM,6,2023,NOM,6/22/23,NA
NOM,6,2023,NOM,6/29/23,NA
NOM,6,2023,NOM,6/8/23,NA
NOM,6,2023,NOM,6/1/23,NA
NOM,6,2023,NOM,6/7/23,NA
NOM,6,2023,NOM,6/21/23,NA
NOM,7,2023,NOM,7/6/23,NA
NOM,8,2023,NOM,8/3/23,NA
NOM,8,2023,NOM,8/24/23,NA
NOM,8,2023,NOM,8/14/23,NA
NOM,8,2023,NOM,8/30/23,NA
NOM,8,2023,NOM,8/25/23,NA
NOM,8,2023,NOM,8/4/23,NA
NOM,10,2022,NOM,10/14/22,NA
NOM,10,2022,NOM,10/19/22,NA
NOM,10,2022,NOM,10/22/22,NA
NOM,10,2023,NOM,10/28/23,NA
NOM,11,2022,NOM,11/11/22,NA
NOM,11,2022,NOM,11/16/22,NA
NOM,11,2022,NOM,11/19/22,NA
NOM,12,2022,NOM,12/1/22,NA
POSE,5,2023,POSE,5/9/23,5/9/23 12:45
POSE,5,2023,POSE,5/12/23,5/9/23 12:45
PRIN,5,2023,PRIN,5/8/23,5/4/23 14:12
PRIN,5,2023,PRIN,5/10/23,5/8/23 16:44
PRPO,6,2023,PRPO,6/29/23,6/20/23 20:18
PRPO,6,2023,PRPO,6/28/23,6/20/23 20:18
REDB,7,2023,REDB,7/5/23,7/5/23 17:42
REDB,7,2023,REDB,7/6/23,7/5/23 17:42
SYCA,3,2023,SYCA,3/20/23,3/20/23 20:36
SYCA,3,2023,SYCA,3/23/23,3/20/23 20:36
SYCA,5,2023,SYCA,5/4/23,5/2/23 17:09
SYCA,5,2023,SYCA,5/2/23,5/2/23 17:09
SYCA,8,2023,SYCA,8/1/23,8/1/23 13:36
SYCA,8,2023,SYCA,8/4/23,8/1/23 13:36
SYCA,11,2022,SYCA,11/9/22,11/9/22 16:32
SYCA,11,2022,SYCA,11/11/22,11/9/22 16:32
TECR,10,2023,TECR,10/23/23,10/9/23 18:10
TECR,10,2023,TECR,10/28/23,10/9/23 18:10
UP,2,2023,UP,2/8/23,NA
UP,2,2023,UP,2/12/23,NA
UP,3,2023,UP,3/23/23,NA
UP,3,2023,UP,3/27/23,NA
UP,3,2023,UP,3/17/23,NA
UP,3,2023,UP,3/11/23,NA
UP,5,2023,UP,5/3/23,NA
UP,5,2023,UP,5/4/23,NA
UP,5,2023,UP,5/12/23,NA
UP,5,2023,UP,5/16/23,NA
UP,5,2023,UP,5/24/23,NA
UP,5,2023,UP,5/26/23,NA
UP,5,2023,UP,5/11/23,NA
UP,5,2023,UP,5/5/23,NA
UP,5,2023,UP,5/10/23,NA
UP,6,2023,UP,6/1/23,NA
UP,6,2023,UP,6/29/23,NA
UP,6,2023,UP,6/15/23,NA
UP,6,2023,UP,6/7/23,NA
UP,6,2023,UP,6/8/23,NA
UP,6,2023,UP,6/21/23,NA
UP,6,2023,UP,6/22/23,NA
UP,7,2023,UP,7/6/23,NA
UP,8,2023,UP,8/4/23,NA
UP,8,2023,UP,8/14/23,NA
UP,8,2023,UP,8/25/23,NA
UP,8,2023,UP,8/30/23,NA
UP,8,2023,UP,8/24/23,NA
UP,8,2023,UP,8/3/23,NA
WALK,5,2023,WALK,5/30/23,5/30/23 13:34
WALK,6,2023,WALK,6/1/23,5/30/23 13:34
