"collectDate","uva_250","uva_280","dtpr","site"
2016-10-04 15:39:00,0.1661,0.1103,2016-10-04 15:45:00,"ARIK"
2016-11-01 17:46:00,0.212,0.1443,2016-11-01 17:45:00,"ARIK"
2016-12-06 16:39:00,0.1299,0.0859,2016-12-06 16:45:00,"ARIK"
2017-01-04 16:00:00,0.0969,0.0643,2017-01-04 16:00:00,"ARIK"
2017-01-18 16:42:00,0.1545,0.1107,2017-01-18 16:45:00,"ARIK"
2017-02-07 18:25:00,0.1107,0.0767,2017-02-07 18:30:00,"ARIK"
2017-02-14 18:10:00,0.1278,0.0884,2017-02-14 18:15:00,"ARIK"
2017-03-01 19:10:00,0.1197,0.0806,2017-03-01 19:15:00,"ARIK"
2017-03-09 18:22:00,0.1338,0.0916,2017-03-09 18:15:00,"ARIK"
2017-03-14 16:02:00,0.1355,0.095,2017-03-14 16:00:00,"ARIK"
2017-04-06 15:40:00,0.1692,0.1127,2017-04-06 15:45:00,"ARIK"
2017-04-12 14:50:00,0.1501,0.0988,2017-04-12 14:45:00,"ARIK"
2017-04-18 15:20:00,0.1839,0.1253,2017-04-18 15:15:00,"ARIK"
2017-04-26 17:37:00,0.1851,0.1261,2017-04-26 17:30:00,"ARIK"
2017-05-02 17:36:00,0.178,0.1202,2017-05-02 17:30:00,"ARIK"
2017-05-16 15:40:00,0.2127,0.1443,2017-05-16 15:45:00,"ARIK"
2017-06-06 16:20:00,0.2193,0.1506,2017-06-06 16:15:00,"ARIK"
2017-07-05 17:49:00,0.1583,0.1114,2017-07-05 17:45:00,"ARIK"
2017-07-19 14:40:00,0.1615,0.1129,2017-07-19 14:45:00,"ARIK"
2017-08-01 14:33:00,0.1588,0.1066,2017-08-01 14:30:00,"ARIK"
2017-08-16 16:30:00,0.1097,0.0717,2017-08-16 16:30:00,"ARIK"
2017-09-05 17:45:00,0.1615,0.1066,2017-09-05 17:45:00,"ARIK"
2017-10-12 11:19:00,0.1601,0.1046,2017-10-12 11:15:00,"ARIK"
2017-10-24 17:15:00,0.1683,0.1173,2017-10-24 17:15:00,"ARIK"
2017-11-07 16:40:00,0.1782,0.1192,2017-11-07 16:45:00,"ARIK"
2017-11-30 16:54:00,0.1263,0.0819,2017-11-30 17:00:00,"ARIK"
2017-12-05 16:20:00,0.1292,0.0889,2017-12-05 16:15:00,"ARIK"
2017-12-20 18:08:00,0.1047,0.0682,2017-12-20 18:15:00,"ARIK"
2018-01-04 17:12:00,0.1323,0.0887,2018-01-04 17:15:00,"ARIK"
2018-01-18 16:24:00,0.1059,0.0697,2018-01-18 16:30:00,"ARIK"
2018-02-07 17:30:00,0.1141,0.0785,2018-02-07 17:30:00,"ARIK"
2018-02-15 15:51:00,0.1236,0.0867,2018-02-15 15:45:00,"ARIK"
2018-02-28 15:39:00,0.1523,0.1054,2018-02-28 15:45:00,"ARIK"
2018-03-06 16:01:00,0.1375,0.0995,2018-03-06 16:00:00,"ARIK"
2018-03-13 14:20:00,0.1693,0.1139,2018-03-13 14:15:00,"ARIK"
2018-03-27 16:55:00,0.1399,0.0911,2018-03-27 17:00:00,"ARIK"
2018-04-03 17:43:00,0.1471,0.0981,2018-04-03 17:45:00,"ARIK"
2018-04-18 17:45:00,0.1879,0.1256,2018-04-18 17:45:00,"ARIK"
2018-05-01 14:20:00,-0.0272,-0.0258,2018-05-01 14:15:00,"ARIK"
2018-05-09 15:34:00,0.2315,0.1569,2018-05-09 15:30:00,"ARIK"
2018-05-15 17:57:00,0.2142,0.1459,2018-05-15 18:00:00,"ARIK"
2018-05-30 17:15:00,0.2545,0.1734,2018-05-30 17:15:00,"ARIK"
2018-06-06 13:29:00,0.16,0.1071,2018-06-06 13:30:00,"ARIK"
2018-06-13 15:36:00,0.1205,0.083,2018-06-13 15:30:00,"ARIK"
2018-07-02 18:29:00,0.2219,0.1515,2018-07-02 18:30:00,"ARIK"
2018-07-12 15:53:00,0.1527,0.1044,2018-07-12 16:00:00,"ARIK"
2018-07-18 15:18:00,0.1726,0.1216,2018-07-18 15:15:00,"ARIK"
2018-08-07 14:19:00,0.1559,0.1073,2018-08-07 14:15:00,"ARIK"
2018-08-20 16:50:00,0.1924,0.1312,2018-08-20 16:45:00,"ARIK"
2018-09-04 17:15:00,0.1681,0.1163,2018-09-04 17:15:00,"ARIK"
2018-10-02 15:24:00,0.1253,0.0845,2018-10-02 15:30:00,"ARIK"
2018-11-06 16:25:00,0.1812,0.1253,2018-11-06 16:30:00,"ARIK"
2018-12-04 16:14:00,0.1335,0.091,2018-12-04 16:15:00,"ARIK"
2018-12-19 16:15:00,0.1032,0.0678,2018-12-19 16:15:00,"ARIK"
2019-01-03 16:00:00,0.1052,0.0723,2019-01-03 16:00:00,"ARIK"
2019-01-21 18:57:00,0.1105,0.0765,2019-01-21 19:00:00,"ARIK"
2019-02-05 18:04:00,0.1069,0.0731,2019-02-05 18:00:00,"ARIK"
2019-02-14 18:20:00,0.0949,0.0651,2019-02-14 18:15:00,"ARIK"
